"tabela","categoria","med_altura","med_peso","med_imc","n_dist","sexo","region_cadunico"
"geral","qt_criancas",-0.23,0.09,0.32,6494753,NA,NA
"regiao","centro_oeste",-0.18,0.06,0.23,26831,"Feminino","Rural"
"regiao","centro_oeste",-0.07,0.13,0.24,170825,"Feminino","Urbana"
"regiao","centro_oeste",-0.25,0.09,0.35,25536,"Masculino","Rural"
"regiao","centro_oeste",-0.15,0.14,0.32,160568,"Masculino","Urbana"
"regiao","nordeste",-0.22,0.01,0.19,573912,"Feminino","Rural"
"regiao","nordeste",-0.14,0.12,0.28,899278,"Feminino","Urbana"
"regiao","nordeste",-0.31,0.02,0.29,553014,"Masculino","Rural"
"regiao","nordeste",-0.21,0.13,0.37,834173,"Masculino","Urbana"
"regiao","norte",-0.76,-0.41,0.07,148048,"Feminino","Rural"
"regiao","norte",-0.51,-0.2,0.15,296044,"Feminino","Urbana"
"regiao","norte",-0.87,-0.4,0.22,140506,"Masculino","Rural"
"regiao","norte",-0.6,-0.18,0.27,270682,"Masculino","Urbana"
"regiao","sudeste",-0.04,0.14,0.22,135270,"Feminino","Rural"
"regiao","sudeste",-0.07,0.21,0.36,751729,"Feminino","Urbana"
"regiao","sudeste",-0.1,0.16,0.3,131611,"Masculino","Rural"
"regiao","sudeste",-0.14,0.22,0.43,701771,"Masculino","Urbana"
"regiao","sul",-0.11,0.24,0.43,65835,"Feminino","Rural"
"regiao","sul",-0.11,0.27,0.48,275692,"Feminino","Urbana"
"regiao","sul",-0.16,0.27,0.53,65148,"Masculino","Rural"
"regiao","sul",-0.17,0.29,0.57,268280,"Masculino","Urbana"
"estados","Acre",-0.77,-0.35,0.16,9469,"Feminino","Rural"
"estados","Acre",-0.44,-0.12,0.19,13295,"Feminino","Urbana"
"estados","Acre",-0.87,-0.32,0.33,8954,"Masculino","Rural"
"estados","Acre",-0.52,-0.09,0.33,12161,"Masculino","Urbana"
"estados","Alagoas",-0.21,0.08,0.28,32616,"Feminino","Rural"
"estados","Alagoas",-0.14,0.15,0.33,53576,"Feminino","Urbana"
"estados","Alagoas",-0.3,0.09,0.39,31609,"Masculino","Rural"
"estados","Alagoas",-0.21,0.17,0.43,49746,"Masculino","Urbana"
"estados","Amapa",-0.87,-0.45,0.12,2745,"Feminino","Rural"
"estados","Amapa",-0.81,-0.36,0.19,10217,"Feminino","Urbana"
"estados","Amapa",-1.01,-0.48,0.25,2701,"Masculino","Rural"
"estados","Amapa",-0.89,-0.32,0.35,9663,"Masculino","Urbana"
"estados","Amazonas",-0.97,-0.53,0.1,29035,"Feminino","Rural"
"estados","Amazonas",-0.64,-0.25,0.19,82141,"Feminino","Urbana"
"estados","Amazonas",-1.08,-0.52,0.25,27775,"Masculino","Rural"
"estados","Amazonas",-0.7,-0.21,0.33,74938,"Masculino","Urbana"
"estados","Bahia",-0.1,-0.01,0.05,148533,"Feminino","Rural"
"estados","Bahia",-0.04,0.11,0.17,217072,"Feminino","Urbana"
"estados","Bahia",-0.19,-0.02,0.12,142472,"Masculino","Rural"
"estados","Bahia",-0.12,0.1,0.24,202572,"Masculino","Urbana"
"estados","Ceara",-0.21,0.16,0.39,102486,"Feminino","Rural"
"estados","Ceara",-0.16,0.26,0.5,144910,"Feminino","Urbana"
"estados","Ceara",-0.29,0.18,0.51,98311,"Masculino","Rural"
"estados","Ceara",-0.22,0.29,0.62,135163,"Masculino","Urbana"
"estados","Distrito Federal",-0.17,-0.05,0.06,2077,"Feminino","Rural"
"estados","Distrito Federal",-0.13,0.04,0.15,13379,"Feminino","Urbana"
"estados","Distrito Federal",-0.23,-0.02,0.16,1949,"Masculino","Rural"
"estados","Distrito Federal",-0.22,0.03,0.23,12376,"Masculino","Urbana"
"estados","Espirito Santo",0.07,0.2,0.21,14514,"Feminino","Rural"
"estados","Espirito Santo",-0.01,0.2,0.28,42486,"Feminino","Urbana"
"estados","Espirito Santo",0.01,0.23,0.31,14492,"Masculino","Rural"
"estados","Espirito Santo",-0.07,0.21,0.35,40097,"Masculino","Urbana"
"estados","Goias",0.03,0.11,0.12,8290,"Feminino","Rural"
"estados","Goias",-0.01,0.14,0.2,75698,"Feminino","Urbana"
"estados","Goias",-0.06,0.13,0.22,7892,"Masculino","Rural"
"estados","Goias",-0.09,0.15,0.28,72229,"Masculino","Urbana"
"estados","Maranhao",-0.6,-0.35,0,91397,"Feminino","Rural"
"estados","Maranhao",-0.42,-0.22,0.04,131007,"Feminino","Urbana"
"estados","Maranhao",-0.73,-0.38,0.11,87793,"Masculino","Rural"
"estados","Maranhao",-0.54,-0.24,0.14,120683,"Masculino","Urbana"
"estados","Mato Grosso",-0.17,0.06,0.22,8846,"Feminino","Rural"
"estados","Mato Grosso",-0.1,0.13,0.26,42321,"Feminino","Urbana"
"estados","Mato Grosso",-0.24,0.08,0.33,8468,"Masculino","Rural"
"estados","Mato Grosso",-0.18,0.12,0.32,39012,"Masculino","Urbana"
"estados","Mato Grosso do Sul",-0.43,0.03,0.41,7618,"Feminino","Rural"
"estados","Mato Grosso do Sul",-0.15,0.15,0.32,39427,"Feminino","Urbana"
"estados","Mato Grosso do Sul",-0.48,0.08,0.55,7227,"Masculino","Rural"
"estados","Mato Grosso do Sul",-0.22,0.17,0.43,36951,"Masculino","Urbana"
"estados","Minas Gerais",-0.04,0.09,0.15,78560,"Feminino","Rural"
"estados","Minas Gerais",-0.01,0.19,0.26,258795,"Feminino","Urbana"
"estados","Minas Gerais",-0.1,0.11,0.23,77698,"Masculino","Rural"
"estados","Minas Gerais",-0.08,0.19,0.33,250380,"Masculino","Urbana"
"estados","Para",-0.81,-0.46,0.03,85023,"Feminino","Rural"
"estados","Para",-0.53,-0.21,0.14,133140,"Feminino","Urbana"
"estados","Para",-0.92,-0.44,0.19,80674,"Masculino","Rural"
"estados","Para",-0.64,-0.22,0.26,121206,"Masculino","Urbana"
"estados","Paraiba",-0.1,0.18,0.33,40162,"Feminino","Rural"
"estados","Paraiba",-0.06,0.23,0.37,81553,"Feminino","Urbana"
"estados","Paraiba",-0.14,0.22,0.43,39838,"Masculino","Rural"
"estados","Paraiba",-0.11,0.28,0.48,78057,"Masculino","Urbana"
"estados","Parana",-0.1,0.21,0.37,31313,"Feminino","Rural"
"estados","Parana",-0.07,0.26,0.42,134309,"Feminino","Urbana"
"estados","Parana",-0.15,0.24,0.47,31697,"Masculino","Rural"
"estados","Parana",-0.14,0.27,0.5,133692,"Masculino","Urbana"
"estados","Pernambuco",-0.12,0.16,0.32,69374,"Feminino","Rural"
"estados","Pernambuco",-0.03,0.26,0.39,129987,"Feminino","Urbana"
"estados","Pernambuco",-0.21,0.17,0.42,66658,"Masculino","Rural"
"estados","Pernambuco",-0.09,0.28,0.47,118491,"Masculino","Urbana"
"estados","Piaui",-0.35,-0.17,0.04,40819,"Feminino","Rural"
"estados","Piaui",-0.21,-0.04,0.11,53802,"Feminino","Urbana"
"estados","Piaui",-0.41,-0.16,0.12,40219,"Masculino","Rural"
"estados","Piaui",-0.28,-0.02,0.21,50488,"Masculino","Urbana"
"estados","Rio Grande do Norte",-0.19,0.18,0.4,24579,"Feminino","Rural"
"estados","Rio Grande do Norte",-0.19,0.22,0.46,50180,"Feminino","Urbana"
"estados","Rio Grande do Norte",-0.25,0.21,0.52,23446,"Masculino","Rural"
"estados","Rio Grande do Norte",-0.25,0.25,0.57,45735,"Masculino","Urbana"
"estados","Rio Grande do Sul",-0.1,0.33,0.54,22460,"Feminino","Rural"
"estados","Rio Grande do Sul",-0.14,0.34,0.6,102694,"Feminino","Urbana"
"estados","Rio Grande do Sul",-0.13,0.38,0.66,21501,"Masculino","Rural"
"estados","Rio Grande do Sul",-0.18,0.38,0.7,97086,"Masculino","Urbana"
"estados","Rio de Janeiro",-0.05,0.21,0.33,15011,"Feminino","Rural"
"estados","Rio de Janeiro",-0.17,0.17,0.39,143077,"Feminino","Urbana"
"estados","Rio de Janeiro",-0.11,0.24,0.43,13800,"Masculino","Rural"
"estados","Rio de Janeiro",-0.26,0.17,0.48,127764,"Masculino","Urbana"
"estados","Rondonia",0,0.08,0.11,9225,"Feminino","Rural"
"estados","Rondonia",-0.15,0.02,0.13,15824,"Feminino","Urbana"
"estados","Rondonia",-0.05,0.13,0.21,8349,"Masculino","Rural"
"estados","Rondonia",-0.17,0.08,0.26,14666,"Masculino","Urbana"
"estados","Roraima",-0.85,-0.37,0.21,3370,"Feminino","Rural"
"estados","Roraima",-0.45,-0.16,0.15,10216,"Feminino","Urbana"
"estados","Roraima",-0.99,-0.38,0.36,3329,"Masculino","Rural"
"estados","Roraima",-0.6,-0.21,0.23,9162,"Masculino","Urbana"
"estados","Santa Catarina",-0.16,0.18,0.38,12062,"Feminino","Rural"
"estados","Santa Catarina",-0.21,0.15,0.39,38689,"Feminino","Urbana"
"estados","Santa Catarina",-0.22,0.2,0.47,11950,"Masculino","Rural"
"estados","Santa Catarina",-0.28,0.15,0.46,37502,"Masculino","Urbana"
"estados","Sao Paulo",-0.12,0.21,0.39,27185,"Feminino","Rural"
"estados","Sao Paulo",-0.1,0.26,0.45,307371,"Feminino","Urbana"
"estados","Sao Paulo",-0.19,0.22,0.47,25621,"Masculino","Rural"
"estados","Sao Paulo",-0.16,0.26,0.52,283530,"Masculino","Urbana"
"estados","Sergipe",-0.08,0.12,0.22,23946,"Feminino","Rural"
"estados","Sergipe",0,0.2,0.27,37191,"Feminino","Urbana"
"estados","Sergipe",-0.16,0.13,0.31,22668,"Masculino","Rural"
"estados","Sergipe",-0.07,0.21,0.34,33238,"Masculino","Urbana"
"estados","Tocantins",-0.37,-0.16,0.07,9181,"Feminino","Rural"
"estados","Tocantins",-0.21,-0.07,0.06,31211,"Feminino","Urbana"
"estados","Tocantins",-0.5,-0.17,0.19,8724,"Masculino","Rural"
"estados","Tocantins",-0.31,-0.06,0.17,28886,"Masculino","Urbana"
"raca","Amarela",-0.33,-0.11,0.11,2939,"Feminino","Rural"
"raca","Amarela",-0.17,0.07,0.24,5652,"Feminino","Urbana"
"raca","Amarela",-0.35,-0.05,0.22,2871,"Masculino","Rural"
"raca","Amarela",-0.24,0.07,0.31,5603,"Masculino","Urbana"
"raca","Branca",-0.12,0.13,0.28,218761,"Feminino","Rural"
"raca","Branca",-0.08,0.23,0.39,753238,"Feminino","Urbana"
"raca","Branca",-0.16,0.17,0.38,206305,"Masculino","Rural"
"raca","Branca",-0.13,0.26,0.48,686924,"Masculino","Urbana"
"raca","Indígena",-1.12,-0.41,0.4,21247,"Feminino","Rural"
"raca","Indígena",-0.85,-0.29,0.33,8678,"Feminino","Urbana"
"raca","Indígena",-1.25,-0.44,0.53,20654,"Masculino","Rural"
"raca","Indígena",-0.91,-0.27,0.45,7659,"Masculino","Urbana"
"raca","Parda",-0.3,-0.06,0.16,639859,"Feminino","Rural"
"raca","Parda",-0.2,0.07,0.27,1416135,"Feminino","Urbana"
"raca","Parda",-0.39,-0.05,0.27,619862,"Masculino","Rural"
"raca","Parda",-0.28,0.08,0.36,1331927,"Masculino","Urbana"
"raca","Preta",-0.25,-0.03,0.16,28597,"Feminino","Rural"
"raca","Preta",-0.15,0.15,0.34,95730,"Feminino","Urbana"
"raca","Preta",-0.36,-0.05,0.24,28859,"Masculino","Rural"
"raca","Preta",-0.25,0.14,0.42,96233,"Masculino","Urbana"
"sexo","Feminino",-0.27,-0.02,0.19,949896,NA,"Rural"
"sexo","Feminino",-0.16,0.13,0.31,2393568,NA,"Urbana"
"sexo","Masculino",-0.35,0,0.3,915815,NA,"Rural"
"sexo","Masculino",-0.23,0.14,0.4,2235474,NA,"Urbana"
